ENTITYA	IDA	ENTITYB	IDB	SCORE
PPP2R1A	Q5XI34	PP2Ca_R1A_Bd	SIGNOR-C133	0.891
PPP2R1A	Q5XI34	PP2Ca_R1A_Bd	SIGNOR-C134	0.916
PPP2R1B	Q4QQT4	PPP2CA	P63331	0.945
CDC27	Q4V8A2	APC-c	SIGNOR-C150	0.904
WEE1	Q63802	CDK1	P39951	0.806
WEE1	Q63802	CDK2	Q63699	0.638
CDC25A	P48965	RAF1	P11345	0.337
CDC25A	P48965	CDK1	P39951	0.788
CDC25A	P48965	CDK1	P39951	0.788
CDC25A	P48965	CDK2	Q63699	0.775
CDC25A	P48965	CDK2	Q63699	0.775
CDC25A	P48965	CDK2	Q63699	0.775
CDC25A	P48965	CDK2	Q63699	0.775
CDC25A	P48965	CDK2	Q63699	0.775
CDC25A	P48965	MAPK3	P21708	0.311
CDC25A	P48965	CyclinE/CDK2	SIGNOR-C16	0.67
CDC25A	P48965	CyclinD/CDK4	SIGNOR-C18	0.549
CDC25B	P48966	CDK1	P39951	0.773
CDC25B	P48966	CyclinB/CDK1	SIGNOR-C17	0.691
CDC25C	D4ADT2	CDK1	P39951	0.802
CDC25C	D4ADT2	CyclinB/CDK1	SIGNOR-C17	0.782
CDC25C	D4ADT2	CyclinB/CDK1	SIGNOR-C17	0.782
Ppif	P29117	Atp5o	Q06647	0.1
LOC100911668	D3ZHM5	MYLK	D3ZFU9	0.1
LOC100911668	M0RDQ9	MYLK	D3ZFU9	0.1
BDKRB2	P25023	Gna14	Q5EAP4	0.301
BDKRB2	P25023	GNAI3	P08753	0.312
BDKRB2	P25023	GNAO1	P59215	0.1
BDKRB2	P25023	GNA15	O88302	0.333
BDKRB2	P25023	GNAQ	P82471	0.36
BDKRB2	P25023	GNAI1	P10824	0.299
BDKRB2	P25023	GNA12	Q63210	0.1
BDKRB2	P25023	GNA13	F1LNG7	0.1
AVPR2	Q00788	Gnal	P38406	0.19
AVPR2	Q00788	GNAS	Q63803	0.564
AXL	E9PSY0	AXL	E9PSY0	0.1
AXL	E9PSY0	AXL	E9PSY0	0.1
AXL	E9PSY0	AXL	E9PSY0	0.1
Adora1	P25099	GNAI3	P08753	0.395
Adora1	P25099	GNAO1	P59215	0.345
Adora1	P25099	GNAZ	P19627	0.298
Adora1	P25099	GNAI1	P10824	0.393
GRPR	P52500	Gna14	Q5EAP4	0.372
GRPR	P52500	PLA2G1B	P04055	0.146
GRPR	P52500	GNAI3	P08753	0.189
GRPR	P52500	GNAO1	P59215	0.189
GRPR	P52500	GNAZ	P19627	0.174
GRPR	P52500	Gnal	P38406	0.174
GRPR	P52500	GNAQ	P82471	0.446
GRPR	P52500	GNAQ	P82471	0.446
GRPR	P52500	GNAI1	P10824	0.189
GRPR	P52500	GNAS	Q63803	0.174
AGTR1	P25095	NPHS1	Q9R044	0.247
AGTR1	P25095	Gna14	Q5EAP4	0.419
Hba1	P01946	Cyp2e1	P05182	0.1
AGTR1	P25095	GNAI3	P08753	0.174
AGTR1	P25095	GNA15	O88302	0.426
AGTR1	P25095	GNAQ	P82471	0.599
AGTR1	P25095	GNAI1	P10824	0.174
AGTR1	P25095	GNA13	F1LNG7	0.44
AGTR1	P25095	GNG12	G3V6P8	0.37
AGTR1	P25095	TGFb	SIGNOR-PF5	0.237
OXTR	P70536	Gna14	Q5EAP4	0.372
OXTR	P70536	GNAI3	P08753	0.379
OXTR	P70536	Gnal	P38406	0.174
OXTR	P70536	GNAQ	P82471	0.47
OXTR	P70536	GNAI1	P10824	0.38
OXTR	P70536	GNAS	Q63803	0.364
Adsl	D3ZW08	MYC	P09416	0.1
CLIP1	F1MAH8	DCTN1	P28023	0.808
Sstr1	P28646	GNAI3	P08753	0.407
Sstr1	P28646	GNAI1	P10824	0.447
Sstr1	P28646	GNA12	Q63210	0.174
Sstr2	P30680	GNAI3	P08753	0.385
Sstr2	P30680	GNAI1	P10824	0.548
Polr2b	G3V8Y5	RNA Polymerase II	SIGNOR-C391	0.869
Htr1f	P30940	GNAI3	P08753	0.385
Htr1f	P30940	GNAI1	P10824	0.385
Gnrhr	P30969	Gna14	Q5EAP4	0.408
Gnrhr	P30969	GNAI3	P08753	0.174
Hivep2	Q00900	Sstr2	P30680	0.285
Gnrhr	P30969	Gnal	P38406	0.194
Gnrhr	P30969	GNAQ	P82471	0.406
Gnrhr	P30969	GNAI1	P10824	0.174
Gnrhr	P30969	GNAS	Q63803	0.376
NTS	P20068	NTSR2	Q63384	0.881
NTS	P20068	NTSR1	P20789	0.92
SDHA	Q920L2	Mitochondrial respiratory chain complex II	SIGNOR-C278	0.942
SDHA	Q920L2	SDH	SIGNOR-C400	0.1
LOC100911668	D3ZHM5	Phgdh	O08651	0.182
LOC100911668	M0RDQ9	Phgdh	O08651	0.182
LOC100911668	D3ZHM5	MYCN	Q63379	0.1
LOC100911668	M0RDQ9	MYCN	Q63379	0.1
LOC100911668	D3ZHM5	IGFBP1	P21743	0.274
LOC100911668	M0RDQ9	IGFBP1	P21743	0.274
LOC100911668	D3ZHM5	Emx2	D3ZCK7	0.215
LOC100911668	M0RDQ9	Emx2	D3ZCK7	0.215
HOXA9	D3ZSU5	MEIS1	B1WC31	0.537
HOXA9	D3ZSU5	MYCN	Q63379	0.173
HOXA9	D3ZSU5	IGF1	P08025	0.1
HOXA9	D3ZSU5	PIM1	P26794	0.1
HOXA9	D3ZSU5	MSI2	F1LWE6	0.289
Hoxa11	G3V6Z0	LOC100911668	D3ZHM5	0.182
Hoxa11	G3V6Z0	LOC100911668	M0RDQ9	0.182
HOXC13	D3ZKV8	FOXN1	D4A1T1	0.424
HOXC13	D3ZKV8	LAMB2	P15800	0.1
HOXC13	D3ZKV8	Dsg4	Q6W3B0	0.253
TLX1	D4A270	RB1	P33568	0.1
TLX1	D4A270	ETS1	P41156	0.396
TLX1	D4A270	PPP2CB	P62716	0.241
TLX1	D4A270	PPP2CA	P63331	0.247
Prkar1b	P81377	PRKACA	P27791	0.825
Hba1	P01946	EDN1	P22388	0.151
Prkar1b	P81377	PRKACB	P68182	0.862
PRKAR2B	P12369	PRKACA	P27791	0.876
PRKAR2B	P12369	PRKACB	P68182	0.894
PRKAR2B	P12369	PRKAR2B	P12369	0.1
RRM2	Q4KLN6	Ribonucleotide reductase	SIGNOR-C233	0.904
RRM2	Q4KLN6	Ribonucleotide reductase	SIGNOR-C233	0.904
LOC100359539	D4A7M6	Ribonucleotide reductase	SIGNOR-C233	0.904
FGF9	P36364	TGFB1	P17246	0.198
FGF9	P36364	TGFB1	P17246	0.198
FGF9	P36364	BMP2	P49001	0.256
FGF9	P36364	BMP2	P49001	0.256
SSTR4	P30937	GNAI3	P08753	0.385
SSTR4	P30937	GNAI1	P10824	0.43
SSTR4	P30937	GNA12	Q63210	0.174
SDC4	P34901	RAC1	Q6RUV5	0.397
SDC4	P34901	DVL3	D4ADV8	0.139
SDC4	P34901	FN1/SDC4	SIGNOR-C210	0.619
SDC4	P34901	FZD7/SDC4	SIGNOR-C216	0.443
Gabra5	P19969	GABA-A (a5-b1-g2) receptor	SIGNOR-C335	0.659
AKT1	P47196	FOXO6	D3ZV21	0.536
AKT1	P47196	FOXO6	D3ZV21	0.536
AKT1	P47196	SH2B2	Q9Z200	0.35
AKT1	P47196	SH2B2	Q9Z200	0.35
AKT1	P47196	TERT	Q673L6	0.657
AKT1	P47196	TERT	Q673L6	0.657
AKT1	P47196	CHEK1	Q91ZN7	0.371
AKT1	P47196	CHUK	G3V926	0.659
AKT1	P47196	MDM4	Q5XIN1	0.427
AKT1	P47196	FANCA	D3ZQL0	0.385
AKT1	P47196	CFLAR	C0H5Y5	0.333
AKT1	P47196	HTRA2	B0BNB9	0.202
AKT1	P47196	BCL2L11	O88498	0.467
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	TAL1	D3Z921	0.245
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	FOXO3	D3ZBQ1	0.881
AKT1	P47196	NUAK1	D3ZQN8	0.152
AKT1	P47196	TBC1D4	D3ZGN0	0.684
AKT1	P47196	TBC1D4	D3ZGN0	0.684
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	PFKFB2	Q9JJH5	0.591
AKT1	P47196	ESR1	P06211	0.69
AKT1	P47196	ESR1	P06211	0.69
AKT1	P47196	ESR1	P06211	0.69
AKT1	P47196	ESR1	P06211	0.69
AKT1	P47196	RAF1	P11345	0.688
AKT1	P47196	RAF1	P11345	0.688
AKT1	P47196	NR3C1	P06536	0.412
AKT1	P47196	HSPB1	P42930	0.61
AKT1	P47196	ITGB3	M0RCF3	0.551
AKT1	P47196	ADRB2	P10608	0.241
AKT1	P47196	ADRB2	P10608	0.241
AKT1	P47196	VIM	P31000	0.585
AKT1	P47196	HMOX1	P06762	0.468
AKT1	P47196	AR	P15207	0.495
AKT1	P47196	AR	P15207	0.495
AKT1	P47196	AR	P15207	0.495
AKT1	P47196	RARA	Q499N1	0.554
AKT1	P47196	SLC2A1	P11167	0.455
AKT1	P47196	NCF1	F1M707	0.468
AKT1	P47196	NCF1	F1M707	0.468
AKT1	P47196	SLC2A4	P19357	0.437
AKT1	P47196	BRAF	F1M9C3	0.413
AKT1	P47196	GATA1	P43429	0.44
AKT1	P47196	PRKACA	P27791	0.163
AKT1	P47196	HK1	P05708	0.328
AKT1	P47196	HK1	P05708	0.328
AKT1	P47196	HK1	P05708	0.328
AKT1	P47196	S1PR1	P48303	0.635
AKT1	P47196	RPS3	P62909	0.24
AKT1	P47196	EIF4B	Q5RKG9	0.277
AKT1	P47196	GATA2	Q924Y4	0.45
AKT1	P47196	CDK2	Q63699	0.224
AKT1	P47196	FAS	Q63199	0.265
AKT1	P47196	DNMT1	Q9Z330	0.441
AKT1	P47196	PLN	P61016	0.185
AKT1	P47196	Tkt	P50137	0.169
AKT1	P47196	NOS3	Q62600	0.835
AKT1	P47196	NOS3	Q62600	0.835
AKT1	P47196	CTNNB1	Q9WU82	0.73
AKT1	P47196	BMI1	B4F7B6	0.297
AKT1	P47196	Lonp1	Q924S5	0.156
AKT1	P47196	Lonp1	Q924S5	0.156
AKT1	P47196	BRCA1	O54952	0.424
AKT1	P47196	BRCA1	O54952	0.424
AKT1	P47196	CDKN1A	Q64315	0.804
AKT1	P47196	CDKN1A	Q64315	0.804
AKT1	P47196	MAP3K8	Q63562	0.513
AKT1	P47196	MAP3K8	Q63562	0.513
AKT1	P47196	MTOR	P42346	0.911
AKT1	P47196	MTOR	P42346	0.911
AKT1	P47196	HTT	P51111	0.463
AKT1	P47196	MAP2K4	F1LP57	0.548
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	CDKN1B	O08769	0.815
AKT1	P47196	YAP1	Q2EJA0	0.503
AKT1	P47196	CLK2	Q5XI98	0.334
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	CLK2	Q5XI98	0.334
AKT1	P47196	TSC2	P49816	0.744
AKT1	P47196	TSC2	P49816	0.744
AKT1	P47196	GSK3A	P18265	0.614
AKT1	P47196	GSK3B	P18266	0.82
AKT1	P47196	GSK3B	P18266	0.82
AKT1	P47196	GSK3B	P18266	0.82
AKT1	P47196	CDKN1C	Q69DC1	0.38
AKT1	P47196	CDKN1C	Q69DC1	0.38
AKT1	P47196	IRAK1	B2RYH5	0.325
AKT1	P47196	Hk2	P27881	0.303
AKT1	P47196	ARFIP2	Q6AY65	0.369
AKT1	P47196	ACLY	P16638	0.288
AKT1	P47196	TTC3	D3ZSP7	0.337
AKT1	P47196	Usp14	Q5U2N2	0.296
AKT1	P47196	VCP	P46462	0.434
AKT1	P47196	VCP	P46462	0.434
AKT1	P47196	VCP	P46462	0.434
AKT1	P47196	CASP9	Q9JHK1	0.695
AKT1	P47196	CASP9	Q9JHK1	0.695
AKT1	P47196	CASP9	Q9JHK1	0.695
AKT1	P47196	DLX5	P50575	0.153
AKT1	P47196	DLX5	P50575	0.153
AKT1	P47196	RAC1	Q6RUV5	0.665
AKT1	P47196	YWHAZ	P63102	0.625
AKT1	P47196	YBX1	P62961	0.472
AKT1	P47196	YBX1	P62961	0.472
AKT1	P47196	SRPK2	B1WBT4	0.378
AKT1	P47196	SMAD3	P84025	0.55
AKT1	P47196	H3F3B	P84245	0.1
AKT1	P47196	XIAP	Q9R0I6	0.576
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	FOXO4	D4A433	0.69
AKT1	P47196	MDM2	D3ZVH5	0.78
AKT1	P47196	MDM2	D3ZVH5	0.78
AKT1	P47196	MDM2	D3ZVH5	0.78
AKT1	P47196	MDM2	D3ZVH5	0.78
AKT1	P47196	POU5F1	Q6MG27	0.314
AKT1	P47196	MST1R	D3ZYM4	0.511
AKT1	P47196	ZFP36L1	P17431	0.598
AKT1	P47196	BAX	Q63690	0.407
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	FOXO1	G3V7R4	0.832
AKT1	P47196	Fstl1	Q62632	0.252
AKT1	P47196	ILF3	Q9JIL3	0.238
AKT1	P47196	STK4	D4A648	0.336
AKT1	P47196	STK4	D4A648	0.336
AKT1	P47196	STK3	O54748	0.301
AKT1	P47196	STK3	O54748	0.301
AKT1	P47196	STK3	O54748	0.301
AKT1	P47196	MEF2D	O89038	0.502
AKT1	P47196	PEA15	Q5U318	0.436
AKT1	P47196	TWIST1	Q9EPJ1	0.297
AKT1	P47196	EZH2	B5DFE2	0.502
AKT1	P47196	ZYX	D4A7U1	0.295
AKT1	P47196	MAP3K11	Q66HA1	0.336
AKT1	P47196	Ube2s	B5DFI8	0.38
AKT1	P47196	GAB2	Q9EQH1	0.616
AKT1	P47196	PFKFB3	O35552	0.304
AKT1	P47196	CCDC88A	D3ZYD7	0.525
AKT1	P47196	PDCD4	Q9JID1	0.295
AKT1	P47196	PDCD4	Q9JID1	0.295
AKT1	P47196	PDCD4	Q9JID1	0.295
AKT1	P47196	Dab2ip	Q6P730	0.409
AKT1	P47196	Tent2	Q5U315	0.1
AKT1	P47196	Larp1	F1M062	0.185
AKT1	P47196	Larp1	F1M062	0.185
AKT1	P47196	SH3RF1	Q71F54	0.333
AKT1	P47196	ALYREF	D3ZXH7	0.377
AKT1	P47196	SP7	Q6IMK2	0.3
AKT1	P47196	SP7	Q6IMK2	0.3
AKT1	P47196	BAD	O35147	0.803
AKT1	P47196	PPARGC1A	Q9QYK2	0.36
AKT1	P47196	BAD	O35147	0.803
AKT1	P47196	BAD	O35147	0.803
AKT1	P47196	BAD	O35147	0.803
AKT1	P47196	KHSRP	Q99PF5	0.634
AKT1	P47196	AKT1S1	D3ZH75	0.699
AKT1	P47196	Scyl1	Q5M9F8	0.147
AKT1	P47196	DLC1	Q63744	0.414
AKT1	P47196	TP53RK	D3ZCD7	0.207
AKT1	P47196	AGAP2	Q8CGU4	0.421
AKT1	P47196	PHB2	Q5XIH7	0.394
AKT1	P47196	MAP3K5	D3ZZH6	0.736
AKT1	P47196	PHF20	D3ZQB7	0.456
AKT1	P47196	CDCA7	Q4KM91	0.215
AKT1	P47196	FAM129A	Q9ESN0	0.1
AKT1	P47196	WNK1	Q9JIH7	0.331
AKT1	P47196	RANBP3	M0RD63	0.232
AKT1	P47196	LTB4R2	Q924U0	0.325
AKT1	P47196	METTL1	M0R637	0.282
AKT1	P47196	PIKFYVE	D3ZYT8	0.353
AKT1	P47196	CARHSP1	Q9WU49	0.296
AKT1	P47196	TSC1/TSC2	SIGNOR-C101	0.714
AKT1	P47196	TSC1/TSC2	SIGNOR-C101	0.714
AKT1	P47196	IKK-complex	SIGNOR-C14	0.636
AKT1	P47196	mTORC1	SIGNOR-C3	0.644
AKT1	P47196	mTORC1	SIGNOR-C3	0.644
AKT1	P47196	mTORC1	SIGNOR-C3	0.644
AKT1	P47196	P300/PCAF	SIGNOR-C7	0.542
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT1	P47196	FOXO	SIGNOR-PF27	0.882
AKT2	P47197	CHUK	G3V926	0.488
AKT2	P47197	HTRA2	B0BNB9	0.1
AKT2	P47197	STK3	O54748	0.161
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	FOXO3	D3ZBQ1	0.67
AKT2	P47197	ESR1	P06211	0.431
AKT2	P47197	RAF1	P11345	0.361
AKT2	P47197	HSPB1	P42930	0.188
AKT2	P47197	BRAF	F1M9C3	0.174
AKT2	P47197	BRAF	F1M9C3	0.174
AKT2	P47197	BRAF	F1M9C3	0.174
AKT2	P47197	EZR	P31977	0.257
AKT2	P47197	CREB1	P15337	0.406
RELA	Q7TQN4	REL/RELA	SIGNOR-C68	0.7
AKT2	P47197	PTPN1	P20417	0.274
AKT2	P47197	NFKB1	Q63369	0.241
AKT2	P47197	NOS3	Q62600	0.41
AKT2	P47197	CTNNB1	Q9WU82	0.479
AKT2	P47197	CTNNB1	Q9WU82	0.479
AKT2	P47197	BMI1	B4F7B6	0.177
AKT2	P47197	CDKN1A	Q64315	0.62
AKT2	P47197	MTOR	P42346	0.533
AKT2	P47197	CDKN1B	O08769	0.435
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	TSC2	P49816	0.66
AKT2	P47197	FOXO1	G3V7R4	0.544
AKT2	P47197	GSK3B	P18266	0.603
AKT2	P47197	GSK3B	P18266	0.603
AKT2	P47197	ACLY	P16638	0.172
AKT2	P47197	CASP9	Q9JHK1	0.429
AKT2	P47197	CASP9	Q9JHK1	0.429
AKT2	P47197	XIAP	Q9R0I6	0.361
AKT2	P47197	FOXO4	D4A433	0.554
AKT2	P47197	FOXO4	D4A433	0.554
AKT2	P47197	FOXO4	D4A433	0.554
AKT2	P47197	MDM2	D3ZVH5	0.453
AKT2	P47197	MDM2	D3ZVH5	0.453
AKT2	P47197	POU5F1	Q6MG27	0.146
AKT2	P47197	FOXO1	G3V7R4	0.544
AKT2	P47197	STK4	D4A648	0.162
AKT2	P47197	MAPK14	P70618	0.346
AKT2	P47197	Stxbp4	D3Z9G8	0.283
AKT2	P47197	SH3RF1	Q71F54	0.329
AKT2	P47197	BAD	O35147	0.463
AKT2	P47197	BAD	O35147	0.463
AKT2	P47197	AKT1S1	D3ZH75	0.609
AKT2	P47197	AKT1S1	D3ZH75	0.609
AKT2	P47197	MAP3K5	D3ZZH6	0.662
AKT2	P47197	ANKRD2	D3ZM27	0.301
AKT2	P47197	PPARGC1A	Q9QYK2	0.259
AKT2	P47197	PPARGC1A	Q9QYK2	0.259
AKT2	P47197	Myo5a	Q9QYF3	0.372
AKT2	P47197	TSC1/TSC2	SIGNOR-C101	0.598
AKT2	P47197	IKK-complex	SIGNOR-C14	0.388
RYK	F1LQR5	FZD8	Q498S8	0.653
AKT2	P47197	mTORC1	SIGNOR-C3	0.487
AKT2	P47197	mTORC1	SIGNOR-C3	0.487
AKT2	P47197	P300/PCAF	SIGNOR-C7	0.208
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
AKT2	P47197	FOXO	SIGNOR-PF27	0.691
IL2RG	Q7TP53	JAK3	Q63272	0.669
Uqcrc1	Q68FY0	Mitochondrial respiratory chain complex III	SIGNOR-C279	0.905
Hnrnph1	Q8VHV7	SRC	Q9WUD9	0.176
Hnrnph1	Q8VHV7	Terf2	D3ZJF7	0.212
YWHAB	P35213	Nefl	P19527	0.16
YWHAB	P35213	SRPK2	B1WBT4	0.27
Stip1	O35814	HSP90AA1	P82995	0.914
Stip1	O35814	HSP90AB1	P34058	0.848
FCGR3	P27645	TLR4	Q9QX05	0.252
FCGR2	Q63203	TLR4	Q9QX05	0.252
ARRB2	P29067	ADRB2	P10608	0.668
ARRB2	P29067	ADRB1	P18090	0.411
ARRB2	P29067	KIF3A	F1LQZ3	0.569
ARRB2	P29067	KIF3A	F1LQZ3	0.569
CCKAR	P30551	Gna14	Q5EAP4	0.393
