ENTITYA	IDA	ENTITYB	IDB	SCORE
DUSP4	Q8BFV3	MAPK3	Q63844	0.666
DUSP4	Q8BFV3	MAPK3	Q63844	0.666
DUSP4	Q8BFV3	MAPK1	P63085	0.71
DUSP4	Q8BFV3	MAPK1	P63085	0.71
DUSP4	Q8BFV3	MAPK9	Q9WTU6	0.588
DUSP4	Q8BFV3	MAPK14	P47811	0.63
KLF10	O89091	Tgfbi	P82198	0.135
KLF10	O89091	SIN3A	Q60520	0.392
REST	Q8VIG1	Penk	P22005	0.1
REST	Q8VIG1	BDNF	P21237	0.283
REST	Q8VIG1	Cartpt	P56388	0.1
REST	Q8VIG1	SCN2A1	B1AWN6	0.187
REST	Q8VIG1	REST-CoREST	SIGNOR-C111	0.69
RLF	A2A7F4	RIN1	Q921Q7	0.1
RLF	A2A7F4	RIT1	P70426	0.261
ATM	Q62388	MDM2	P23804	0.677
PAK1	O88643	AURKA	P97477	0.326
NR1H3	Q9Z0Y9	Bhlhe40	O35185	0.156
Ppfia1	B2RXW8	PTPRF	A2A8L5	0.741
BAMBI	Q9D0L6	DVL2	Q60838	0.472
BAMBI	Q9D0L6	FZD5	Q9EQD0	0.518
Tardbp	Q921F2	GSK3B	Q9WV60	0.165
Tardbp	Q921F2	DICER1	Q8R418	0.245
CASP8	O89110	BID	P70444	0.892
PAK1	O88643	ARPC1B	Q9WV32	0.446
PAK1	O88643	SNAI1	Q02085	0.266
PAK1	O88643	ESR1	P19785	0.464
PAK1	O88643	RAF1	Q99N57	0.562
PAK1	O88643	ARAF	P04627	0.184
PAK1	O88643	STMN1	P54227	0.245
PAK1	O88643	STMN1	P54227	0.245
PAK1	O88643	STMN1	P54227	0.245
PAK1	O88643	SYN1	O88935	0.294
PAK1	O88643	PGAM1	Q9DBJ1	0.1
PAK1	O88643	PGAM1	Q9DBJ1	0.1
PAK1	O88643	GNAZ	O70443	0.1
PAK1	O88643	FLNA	Q8BTM8	0.719
PAK1	O88643	WEE1	P47810	0.232
PAK1	O88643	CTNNB1	Q02248	0.443
PAK1	O88643	NF2	P46662	0.597
PAK1	O88643	PGM1	Q9D0F9	0.285
PAK1	O88643	BCL6	P41183	0.1
PAK1	O88643	LIMK1	P53668	0.573
ATM	Q62388	MDC1	Q5PSV9	0.791
PAK1	O88643	DYNLL1	P63168	0.321
PAK1	O88643	HIST1H3A	P68433	0.1
PAK1	O88643	ELF3	Q3UPW2	0.382
PAK1	O88643	MAP2K1	P31938	0.534
PAK1	O88643	PAK1	O88643	0.1
PAK1	O88643	PAK1	O88643	0.1
PAK1	O88643	MAP3K1	P53349	0.501
PAK1	O88643	ITGB3BP	Q9CQ82	0.1
PAK1	O88643	CTBP1	O88712	0.269
PAK1	O88643	ILK	O55222	0.284
PAK1	O88643	ILK	O55222	0.284
PAK1	O88643	CTTN	Q60598	0.636
PAK1	O88643	CTTN	Q60598	0.636
PAK1	O88643	CTTN	Q60598	0.636
PAK1	O88643	CTTN	Q60598	0.636
PAK1	O88643	MYLK	Q6PDN3	0.511
PAK1	O88643	Net1	Q9Z206	0.141
PAK2	Q8CIN4	RPS6	P62754	0.261
PAK1	O88643	Net1	Q9Z206	0.141
PAK1	O88643	Net1	Q9Z206	0.141
PAK1	O88643	Hace1	Q3U0D9	0.1
PAK1	O88643	TBCB	Q9D1E6	0.372
PAK1	O88643	TBCB	Q9D1E6	0.372
PAK1	O88643	KIF2C	Q922S8	0.283
PAK1	O88643	KIF2C	Q922S8	0.283
PAK1	O88643	PA2G4	P50580	0.1
FADD	Q61160	RIPK1	Q60855	0.722
FADD	Q61160	RIPK1	Q60855	0.722
MAP2K5	Q9WVS7	MAPK7	Q9WVS8	0.686
MAP2K5	Q9WVS7	MAPK7	Q9WVS8	0.686
MAP2K5	Q9WVS7	MAPK7	Q9WVS8	0.686
MAPK7	Q9WVS8	SGK1	Q9WVC6	0.343
MAPK7	Q9WVS8	KLF4	Q60793	0.316
MAPK8IP2	Q9ERE9	MAP2K7	Q8CE90	0.623
MAPK7	Q9WVS8	ETS1	P27577	0.366
MAPK7	Q9WVS8	GJA1	P23242	0.492
MAPK7	Q9WVS8	PML	Q60953	0.398
MAPK7	Q9WVS8	MEF2A	Q60929	0.665
MAPK7	Q9WVS8	MEF2A	Q60929	0.665
MAPK7	Q9WVS8	MEF2A	Q60929	0.665
MAPK7	Q9WVS8	MAP2K5	Q9WVS7	0.686
MAPK7	Q9WVS8	MAP2K5	Q9WVS7	0.686
MAPK7	Q9WVS8	MAP2K5	Q9WVS7	0.686
MAPK7	Q9WVS8	MAP2K5	Q9WVS7	0.686
MAPK7	Q9WVS8	MAPK7	Q9WVS8	0.1
MAPK7	Q9WVS8	MAPK7	Q9WVS8	0.1
MAPK7	Q9WVS8	MAPK7	Q9WVS8	0.1
PAK2	Q8CIN4	RPS6	P62754	0.261
MAPK7	Q9WVS8	MAPK7	Q9WVS8	0.1
MAPK7	Q9WVS8	MEF2D	Q63943	0.661
MAPK7	Q9WVS8	KLF2	Q60843	0.346
PAK2	Q8CIN4	PRL	P06879	0.214
PAK2	Q8CIN4	JUN	P05627	0.157
PAK2	Q8CIN4	JUN	P05627	0.157
PAK2	Q8CIN4	JUN	P05627	0.157
PAK2	Q8CIN4	JUN	P05627	0.157
PAK2	Q8CIN4	JUN	P05627	0.157
PAK2	Q8CIN4	VIM	P20152	0.258
PAK2	Q8CIN4	VIM	P20152	0.258
PAK2	Q8CIN4	NF2	P46662	0.424
PAK2	Q8CIN4	CASP7	P97864	0.295
PAK2	Q8CIN4	CASP7	P97864	0.295
PAK2	Q8CIN4	CASP7	P97864	0.295
PAK2	Q8CIN4	RPS6	P62754	0.261
MAPK8IP2	Q9ERE9	MAP2K7	Q8CE90	0.623
PAK2	Q8CIN4	RPS6	P62754	0.261
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	PAK2	Q8CIN4	0.1
PAK2	Q8CIN4	MYLK	Q6PDN3	0.492
PAK2	Q8CIN4	MKNK1	O08605	0.377
CBX3	P23198	HIST1H3A	P68433	0.1
CBX3	P23198	H3F3A	P84244	0.1
CBX3	P23198	ChAHP	SIGNOR-C407	0.355
STK3	Q9JI10	LATS1	Q8BYR2	0.591
STK3	Q9JI10	LATS1	Q8BYR2	0.591
STK3	Q9JI10	Rcc1	Q8VE37	0.1
STK3	Q9JI10	Rcc1	Q8VE37	0.1
STK3	Q9JI10	NEK2	O35942	0.137
STK3	Q9JI10	STK3	Q9JI10	0.1
STK3	Q9JI10	MOB1B	Q8BPB0	0.808
STK3	Q9JI10	MOB1B	Q8BPB0	0.808
STK3	Q9JI10	MOB1B	Q8BPB0	0.808
STK3	Q9JI10	MOB1B	Q8BPB0	0.808
STK3	Q9JI10	SAV1	Q8VEB2	0.846
STK3	Q9JI10	MOB1A	Q921Y0	0.864
STK3	Q9JI10	MOB1A	Q921Y0	0.864
STK3	Q9JI10	MOB1A	Q921Y0	0.864
STK3	Q9JI10	MOB1A	Q921Y0	0.864
STK3	Q9JI10	MOB1A	Q921Y0	0.864
STK3	Q9JI10	LATS2	Q7TSJ6	0.581
STK3	Q9JI10	LATS2	Q7TSJ6	0.581
STK3	Q9JI10	LATS2	Q7TSJ6	0.581
STK3	Q9JI10	LATS2	Q7TSJ6	0.581
CBLB	Q3TTA7	EGFR	Q01279	0.777
MAP3K1	P53349	MEK1/2	SIGNOR-PF25	0.642
CBLB	Q3TTA7	TP53	P02340	0.1
CBLB	Q3TTA7	KIT	P05532	0.289
CBLB	Q3TTA7	NCK1	Q99M51	0.497
CBLB	Q3TTA7	FLT3	Q00342	0.274
TBX2	Q60707	CDKN1A	P39689	0.221
Sema3b	Q62177	NRP1	P97333	0.687
Sema3b	Q62177	NRP2	O35375	0.508
Sema3b	Q62177	PLXNA2	P70207	0.541
Sema3b	Q62177	Plxna4	Q80UG2	0.539
DNAJC3	Q91YW3	EIF2AK2	Q03963	0.576
DNAJC3	Q91YW3	EIF2AK3	Q9Z2B5	0.555
GRIN2B	Q01097	NMDA receptor_2B	SIGNOR-C348	0.742
MAP3K1	P53349	MAP2K7	Q8CE90	0.73
MAP3K1	P53349	MAP2K6	P70236	0.356
MAP3K1	P53349	MAP2K1	P31938	0.642
MAP3K1	P53349	MAP2K1	P31938	0.642
MAP3K1	P53349	FADD	Q61160	0.397
MAP3K1	P53349	CRTC1	Q68ED7	0.27
PRKG2	Q61410	HSPB1	P14602	0.1
PRKG2	Q61410	HSPB1	P14602	0.1
PRKG2	Q61410	PLCB3	P51432	0.48
PRKG2	Q61410	Hcn2	O88703	0.1
Sla	Q60898	KIT	P05532	0.1
Sla	Q60898	EPHA2	Q03145	0.364
NOG	P97466	BMPR1B	P36898	0.477
NOG	P97466	BMP2	P21274	0.748
NOG	P97466	BMP4	P21275	0.751
NOG	P97466	BMP7	P23359	0.848
NOG	P97466	BMPR1A	P36895	0.487
NOG	P97466	BMPR1A	P36895	0.487
NOG	P97466	Gdf5	P43027	0.631
NOG	P97466	BMPR2	O35607	0.467
ATM	Q62388	CHEK2	Q9Z265	0.769
NOG	P97466	BMPR1A/1B/2	SIGNOR-C29	0.477
NOG	P97466	BMPR1A/1B/2	SIGNOR-C29	0.477
MAD2L1	Q9Z1B5	MCC	SIGNOR-C382	0.97
Ptgdr	P70263	Gnal	Q8CGK7	0.174
Ptgdr	P70263	GNAS	Q6R0H7	0.557
IL15RA	Q60819	IL2RB	P16297	0.803
IL15RA	Q60819	JAK1	P52332	0.363
IL15RA	Q60819	TYK2	Q9R117	0.138
IL15RA	Q60819	Timp3	P39876	0.1
IL15RA	Q60819	PPARG	P37238	0.1
IL15RA	Q60819	JAK3	Q62137	0.395
IL15RA	Q60819	JAK3	Q62137	0.395
TRIM28	Q62318	Aldoa	P05064	0.1
TRIM28	Q62318	MDM2	P23804	0.546
SEMA3F	O88632	NRP2	O35375	0.527
G3bp1	P97855	DDX58	Q6Q899	0.215
G3bp1	P97855	DDX58	Q6Q899	0.215
G3bp1	P97855	EIF2AK2	Q03963	0.189
G3bp1	P97855	EIF2AK2	Q03963	0.189
G3bp1	P97855	G3bp2	P97379	0.469
NR5A1	P33242	CYP19A1	P28649	0.347
NR5A1	P33242	Cyp11b2	P15539	0.347
NMI	O35309	SOX10	Q04888	0.359
Gpr17	Q6NS65	GNAI3	Q9DC51	0.3
Gpr17	Q6NS65	GNAO1	P18872	0.1
Gpr17	Q6NS65	GNAQ	P21279	0.299
Gpr17	Q6NS65	GNAI1	B2RSH2	0.321
ATM	Q62388	CHEK2	Q9Z265	0.769
SKP2	Q9Z0Z3	CDKN1B	P46414	0.711
SKP2	Q9Z0Z3	SMAD4	P97471	0.333
SKP2	Q9Z0Z3	Dab2ip	Q3UHC7	0.156
SKP2	Q9Z0Z3	SCF-SKP2	SIGNOR-C136	0.927
Pabpc4	Q6PHQ9	NFX1	B1AY10	0.138
ATM	Q62388	CHEK1	O35280	0.784
ATM	Q62388	CHEK1	O35280	0.784
ATM	Q62388	MDM4	O35618	0.66
ATM	Q62388	MDM4	O35618	0.66
ATM	Q62388	MDM4	O35618	0.66
ATM	Q62388	MDM4	O35618	0.66
ATM	Q62388	RNF40	Q3U319	0.372
ATM	Q62388	RAD17	Q6NXW6	0.795
ATM	Q62388	RAD17	Q6NXW6	0.795
ATM	Q62388	Ufl1	Q8CCJ3	0.1
ATM	Q62388	NFAT5	Q9WV30	0.16
ATM	Q62388	NFAT5	Q9WV30	0.16
ATM	Q62388	NFAT5	Q9WV30	0.16
ATM	Q62388	CHEK2	Q9Z265	0.769
ATM	Q62388	CHEK2	Q9Z265	0.769
ATM	Q62388	CHEK2	Q9Z265	0.769
ATM	Q62388	CHEK2	Q9Z265	0.769
ATM	Q62388	CHEK2	Q9Z265	0.769
ATM	Q62388	ABL1	P00520	0.666
ATM	Q62388	ABL1	P00520	0.666
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	TP53	P02340	0.783
ATM	Q62388	SP1	O89090	0.276
ATM	Q62388	ATF2	P16951	0.474
ATM	Q62388	ATF2	P16951	0.474
ATM	Q62388	RPA2	Q62193	0.752
ATM	Q62388	RPA2	Q62193	0.752
ATM	Q62388	H2AFX	P27661	0.1
ATM	Q62388	CREB1	Q01147	0.438
ATM	Q62388	CREB1	Q01147	0.438
ATM	Q62388	XPA	Q64267	0.523
ATM	Q62388	XPA	Q64267	0.523
ATM	Q62388	CDC25C	P48967	0.378
ATM	Q62388	AKT1	P31750	0.306
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	MDM2	P23804	0.677
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	BRCA1	P48754	0.76
ATM	Q62388	PPP1R2	Q9DCL8	0.1
ATM	Q62388	MRE11A	Q61216	0.1
ATM	Q62388	Pex5	O09012	0.416
ATM	Q62388	BLM	O88700	0.721
ATM	Q62388	TERF1	P70371	0.476
ATM	Q62388	PRKDC	P97313	0.675
ATM	Q62388	MDM2	P23804	0.677
ATM	Q62388	MDM2	P23804	0.677
ATM	Q62388	MDM2	P23804	0.677
ATM	Q62388	E2F1	Q61501	0.597
ATM	Q62388	EP300	B2RWS6	0.287
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	TP53BP1	P70399	0.827
ATM	Q62388	ATM	Q62388	0.1
ATM	Q62388	ATM	Q62388	0.1
ATM	Q62388	ATM	Q62388	0.1
ATM	Q62388	ATM	Q62388	0.1
ATM	Q62388	ATM	Q62388	0.1
ATM	Q62388	EIF4EBP1	Q60876	0.429
ATM	Q62388	WRN	O09053	0.772
ATM	Q62388	WRN	O09053	0.772
ATM	Q62388	SMC1A	Q9CU62	0.64
ATM	Q62388	SMC1A	Q9CU62	0.64
ATM	Q62388	SMC1A	Q9CU62	0.64
ATM	Q62388	SMAD1	P70340	0.1
ATM	Q62388	STK11	Q9WTK7	0.478
ATM	Q62388	STK11	Q9WTK7	0.478
ATM	Q62388	CCDC6	D3YZP9	0.162
ATM	Q62388	HIF1A	Q61221	0.363
ATM	Q62388	Rif1	Q6PR54	0.398
ATM	Q62388	RNF20	Q5DTM8	0.437
ATM	Q62388	FBXO31	Q3TQF0	0.328
ATM	Q62388	FAM175A	Q8BPZ8	0.1
ATM	Q62388	FAM175A	Q8BPZ8	0.1
ATM	Q62388	TAOK1	Q5F2E8	0.329
ATM	Q62388	TAOK1	Q5F2E8	0.329
ATM	Q62388	TAOK1	Q5F2E8	0.329
ATM	Q62388	TAOK1	Q5F2E8	0.329
ATM	Q62388	RRM2B	Q6PEE3	0.421
ATM	Q62388	KHSRP	Q3U0V1	0.285
ATM	Q62388	KHSRP	Q3U0V1	0.285
ATM	Q62388	FBXW7	Q8VBV4	0.288
ATM	Q62388	L3mbtl2	P59178	0.1
ATM	Q62388	AURKB	O70126	0.292
ATM	Q62388	DCLRE1C	Q8K4J0	0.553
ATM	Q62388	DCLRE1C	Q8K4J0	0.553
ATM	Q62388	DCLRE1C	Q8K4J0	0.553
ATM	Q62388	PNKP	Q9JLV6	0.318
ATM	Q62388	PNKP	Q9JLV6	0.318
ATM	Q62388	RAD9A	Q9Z0F6	0.686
ATM	Q62388	RBBP8	Q80YR6	0.767
ATM	Q62388	RBBP8	Q80YR6	0.767
ATM	Q62388	Nabp2	Q8R2Y9	0.404
ATM	Q62388	FANCD2	Q80V62	0.705
ATM	Q62388	FANCD2	Q80V62	0.705
ATM	Q62388	FANCD2	Q80V62	0.705
ATM	Q62388	FANCD2	Q80V62	0.705
ATM	Q62388	TP63	O88898	0.304
ATM	Q62388	TP63	O88898	0.304
ATM	Q62388	TP63	O88898	0.304
ATM	Q62388	NHEJ1	Q3KNJ2	0.469
ATM	Q62388	Pidd1	Q9ERV7	0.523
ATM	Q62388	Aven	Q9D9K3	0.251
ATM	Q62388	Ubqln4	Q99NB8	0.1
ATM	Q62388	TDP1	Q8BJ37	0.447
ATM	Q62388	Fanci	Q8K368	0.433
ATM	Q62388	AATF	Q9JKX4	0.291
ATM	Q62388	DBF4	Q9QZ41	0.246
ATM	Q62388	DBF4	Q9QZ41	0.246
ATM	Q62388	DBF4	Q9QZ41	0.246
MAPK8IP2	Q9ERE9	MAPK9	Q9WTU6	0.531
ATM	Q62388	DAXX	O35613	0.418
ATM	Q62388	IKBKG	O88522	0.662
ATM	Q62388	AKT	SIGNOR-PF24	0.306
GRB10	Q60760	INSR	P15208	0.614
GRB10	Q60760	IGF1R	Q60751	0.679
GRB10	Q60760	PIK3R1	P26450	0.35
GRB10	Q60760	PI3K	SIGNOR-C156	0.258
BIK	O70337	BCL2L1	Q64373	0.762
Sgcg	P82348	DGC	SIGNOR-C217	0.35
MTA1	Q8K4B0	Snai2	P97469	0.36
MTA1	Q8K4B0	SNAI1	Q02085	0.393
MTA1	Q8K4B0	CXCL2	P10889	0.1
MTA1	Q8K4B0	CDH1	P09803	0.277
MTA1	Q8K4B0	EPHA2	Q03145	0.202
MTA1	Q8K4B0	MBD2/NuRD complex	SIGNOR-C337	0.814
MTA1	Q8K4B0	MBD3/NuRD complex	SIGNOR-C338	0.827
CASP8	O89110	CYCS	P62897	0.333
EIF3I	Q9QZD9	TGFBR2	Q62312	0.273
EIF3I	Q9QZD9	EIF3_complex	SIGNOR-C401	0.927
Itgad	Q3V0T4	AD/b2 integrin	SIGNOR-C172	0.696
KLF1	P46099	KLF8	Q8BLM0	0.142
KLF1	P46099	Hbb-b2	P02089	0.269
KLF1	P46099	FLI1	P26323	0.314
ITGB3BP	Q9CQ82	CCAN complex	SIGNOR-C365	0.697
PPP2R5C	Q60996	ATF1	P81269	0.1
PPP2R5C	Q60996	ATF1	P81269	0.1
PPP2R5C	Q60996	ATF1	P81269	0.1
PPP2R5C	Q60996	ATF1	P81269	0.1
CTBP1	O88712	Cldn7	Q9Z261	0.1
CTBP1	O88712	VDR	P48281	0.298
CTBP1	O88712	CDH1	P09803	0.478
CTBP1	O88712	BRCA1	P48754	0.549
CTBP1	O88712	BRCA1	P48754	0.549
CTBP1	O88712	Ube2d3	P61079	0.1
CTBP1	O88712	BHLHE41	Q99PV5	0.186
Myo7a	P97479	TIP-LINK complex	SIGNOR-C291	0.529
UBE2V1	Q9CZY3	TRAF6	P70196	0.629
Mrpl49	Q9CQ40	39S mitochondrial large ribosomal subunit	SIGNOR-C285	0.725
ILK	O55222	MYL12B	Q3THE2	0.214
ILK	O55222	MYL12B	Q3THE2	0.214
ILK	O55222	PPP1R12A	Q9DBR7	0.534
ILK	O55222	PPP1R12A	Q9DBR7	0.534
ILK	O55222	PPP1R12A	Q9DBR7	0.534
ILK	O55222	PPP1R12A	Q9DBR7	0.534
ILK	O55222	PPP1R12A	Q9DBR7	0.534
ILK	O55222	CFL1	P18760	0.251
ILK	O55222	AKT1	P31750	0.706
ILK	O55222	AKT1	P31750	0.706
ILK	O55222	PPP1R14C	Q8R4S0	0.433
ILK	O55222	PPP1R14A	Q91VC7	0.435
SMAD4	P97471	MYC	P01108	0.52
ILK	O55222	Ppp1r14b	Q62084	0.309
ILK	O55222	IPP complex	SIGNOR-C380	0.878
ILK	O55222	AKT	SIGNOR-PF24	0.706
ILK	O55222	AKT	SIGNOR-PF24	0.706
IKZF1	Q03267	Lnpep	Q8C129	0.182
SNTA1	Q61234	NOS1	Q9Z0J4	0.549
SNTA1	Q61234	DGC	SIGNOR-C217	0.447
Sntb2	Q61235	DGC	SIGNOR-C217	0.404
Xrcc4	Q924T3	Lig4-Xrcc4 complex	SIGNOR-C354	0.949
Tcof1	O08784	NBN	Q9R207	0.256
Os9	Q8K2C7	Trpv4	Q9EPK8	0.314
ADAM9	Q61072	FGFR2	P21803	0.148
Fkbp5	Q64378	NR3C1	P06537	0.658
Myo9b	Q9QY06	CDC42	P60766	0.494
Myo9b	Q9QY06	RHOA	Q9QUI0	0.787
Myo9b	Q9QY06	RAC1	P63001	0.476
ROCK1	P70335	KCNK3	O35111	0.1
ROCK1	P70335	KCNK3	O35111	0.1
ROCK1	P70335	MYL12B	Q3THE2	0.531
ROCK1	P70335	MYL12B	Q3THE2	0.531
ROCK1	P70335	PPP1R12A	Q9DBR7	0.712
ROCK1	P70335	PPP1R12A	Q9DBR7	0.712
ROCK1	P70335	PPP1R12B	Q8BG95	0.5
ROCK1	P70335	PFN1	P62962	0.175
ROCK1	P70335	VIM	P20152	0.314
ROCK1	P70335	GFAP	P03995	0.247
ROCK1	P70335	GFAP	P03995	0.247
ROCK1	P70335	DES	P31001	0.272
ROCK1	P70335	DES	P31001	0.272
ROCK1	P70335	DES	P31001	0.272
ROCK1	P70335	MAPK8IP3	Q9ESN9	0.21
ROCK1	P70335	DES	P31001	0.272
ROCK1	P70335	MYL9	Q9CQ19	0.55
ROCK1	P70335	MYL9	Q9CQ19	0.55
ROCK1	P70335	MYL9	Q9CQ19	0.55
ROCK1	P70335	MSN	P26041	0.637
ROCK1	P70335	RDX	P26043	0.63
ROCK1	P70335	RDX	P26043	0.63
ROCK1	P70335	ADD1	Q9QYC0	0.331
ROCK1	P70335	ADD1	Q9QYC0	0.331
ROCK1	P70335	SOX9	Q04887	0.197
ROCK1	P70335	LIMK1	P53668	0.566
ROCK1	P70335	LIMK2	O54785	0.59
ROCK1	P70335	LIMK2	O54785	0.59
ROCK1	P70335	MAPK8IP3	Q9ESN9	0.21
ROCK1	P70335	PTEN	O08586	0.56
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	ARHGAP24	Q8C4V1	0.364
ROCK1	P70335	LPP	Q8BFW7	0.1
